Time,Insert Time,Communication Status,Power Factor,Energy ( kilowatt hour ),Voltage Phase R B ( volt )
7-Jan-2021 2:03:19 PM,7-Jan-2021 2:02:24 PM,Normal,1,401991.41,400
7-Jan-2021 2:04:21 PM,7-Jan-2021 2:03:25 PM,Normal,1,401992.31,399
7-Jan-2021 2:06:22 PM,7-Jan-2021 2:05:24 PM,Normal,1,401993.09,400
7-Jan-2021 2:12:23 PM,7-Jan-2021 2:11:24 PM,Normal,1,401993.41,400
7-Jan-2021 2:14:13 PM,7-Jan-2021 2:13:17 PM,Normal,1,401993.69,400
7-Jan-2021 2:16:14 PM,7-Jan-2021 2:15:18 PM,Normal,1,401994,400
7-Jan-2021 2:18:16 PM,7-Jan-2021 2:17:19 PM,Normal,1,401994.31,400
7-Jan-2021 2:24:18 PM,7-Jan-2021 2:23:22 PM,Normal,1,401994.59,400
7-Jan-2021 2:26:18 PM,7-Jan-2021 2:25:24 PM,Normal,1,401994.91,400
7-Jan-2021 2:28:18 PM,7-Jan-2021 2:27:23 PM,Normal,1,401995.19,399
7-Jan-2021 2:30:19 PM,7-Jan-2021 2:29:22 PM,Normal,1,401995.5,400
7-Jan-2021 2:38:22 PM,7-Jan-2021 2:37:25 PM,Normal,1,401995.81,399
7-Jan-2021 2:42:14 PM,7-Jan-2021 2:41:19 PM,Normal,1,401996.09,400
7-Jan-2021 2:44:15 PM,7-Jan-2021 2:43:21 PM,Normal,1,401996.41,400
7-Jan-2021 2:50:16 PM,7-Jan-2021 2:49:23 PM,Normal,1,401996.69,400
7-Jan-2021 2:52:17 PM,7-Jan-2021 2:51:20 PM,Normal,1,401997,400
7-Jan-2021 2:54:18 PM,7-Jan-2021 2:53:21 PM,Normal,1,401997.31,400
7-Jan-2021 3:09:18 PM,7-Jan-2021 3:08:25 PM,Normal,1,401997.59,400
7-Jan-2021 3:16:20 PM,7-Jan-2021 3:15:25 PM,Normal,1,401997.91,401
7-Jan-2021 3:18:22 PM,7-Jan-2021 3:17:26 PM,Normal,1,401998.09,401
7-Jan-2021 3:22:23 PM,7-Jan-2021 3:21:25 PM,Normal,1,401998.41,401
7-Jan-2021 3:24:23 PM,7-Jan-2021 3:23:26 PM,Normal,1,401998.69,401
7-Jan-2021 3:28:23 PM,7-Jan-2021 3:27:28 PM,Normal,1,401999,400
7-Jan-2021 3:42:27 PM,7-Jan-2021 3:41:34 PM,Normal,1,401999.31,401
7-Jan-2021 3:44:28 PM,7-Jan-2021 3:43:30 PM,Normal,1,401999.59,400
7-Jan-2021 3:50:29 PM,7-Jan-2021 3:49:31 PM,Normal,1,401999.91,401
7-Jan-2021 3:52:30 PM,7-Jan-2021 3:51:33 PM,Normal,1,402000.19,400
7-Jan-2021 3:54:20 PM,7-Jan-2021 3:53:28 PM,Normal,1,402000.5,401
7-Jan-2021 4:00:21 PM,7-Jan-2021 3:59:24 PM,Normal,1,402000.81,401
7-Jan-2021 4:04:22 PM,7-Jan-2021 4:03:30 PM,Normal,1,402001.09,401
7-Jan-2021 4:08:22 PM,7-Jan-2021 4:07:30 PM,Normal,1,402001.41,401
7-Jan-2021 4:12:23 PM,7-Jan-2021 4:11:28 PM,Normal,1,402001.69,401
7-Jan-2021 4:14:25 PM,7-Jan-2021 4:13:30 PM,Normal,1,402002,401
7-Jan-2021 4:22:27 PM,7-Jan-2021 4:21:30 PM,Normal,1,402002.31,401
7-Jan-2021 4:24:27 PM,7-Jan-2021 4:23:32 PM,Normal,1,402002.59,401
7-Jan-2021 4:26:27 PM,7-Jan-2021 4:25:31 PM,Normal,1,402002.91,401
7-Jan-2021 4:28:27 PM,7-Jan-2021 4:27:34 PM,Normal,1,402003.19,401
7-Jan-2021 4:30:28 PM,7-Jan-2021 4:29:30 PM,Normal,1,402003.5,401
7-Jan-2021 4:34:29 PM,7-Jan-2021 4:33:32 PM,Normal,1,402003.81,401
7-Jan-2021 4:44:22 PM,7-Jan-2021 4:43:26 PM,Normal,1,402004.09,402
7-Jan-2021 4:48:23 PM,7-Jan-2021 4:47:32 PM,Normal,1,402004.69,401
7-Jan-2021 4:50:23 PM,7-Jan-2021 4:49:28 PM,Normal,1,402005.5,402
7-Jan-2021 4:52:24 PM,7-Jan-2021 4:51:25 PM,Normal,1,402006.41,401
7-Jan-2021 4:56:29 PM,7-Jan-2021 4:55:31 PM,Normal,1,402007.09,401
7-Jan-2021 4:58:30 PM,7-Jan-2021 4:57:35 PM,Normal,1,402007.41,402
7-Jan-2021 5:00:30 PM,7-Jan-2021 4:59:31 PM,Normal,1,402007.69,401
7-Jan-2021 5:04:31 PM,7-Jan-2021 5:03:33 PM,Normal,1,402008.19,401
7-Jan-2021 5:06:31 PM,7-Jan-2021 5:05:34 PM,Normal,1,402009,401
7-Jan-2021 5:08:21 PM,7-Jan-2021 5:07:25 PM,Normal,1,402009.81,401
7-Jan-2021 5:10:22 PM,7-Jan-2021 5:09:27 PM,Normal,1,402010.69,401
7-Jan-2021 5:12:22 PM,7-Jan-2021 5:11:29 PM,Normal,1,402011.5,401
7-Jan-2021 5:14:22 PM,7-Jan-2021 5:13:28 PM,Normal,1,402012.31,401
7-Jan-2021 5:20:25 PM,7-Jan-2021 5:19:31 PM,Normal,1,402012.81,401
7-Jan-2021 5:22:26 PM,7-Jan-2021 5:21:30 PM,Normal,1,402013.09,401
7-Jan-2021 5:24:27 PM,7-Jan-2021 5:23:29 PM,Normal,1,402013.41,401
7-Jan-2021 5:26:27 PM,7-Jan-2021 5:25:32 PM,Normal,1,402014.19,401
7-Jan-2021 5:28:27 PM,7-Jan-2021 5:27:31 PM,Normal,1,402014.81,401
